BotColorFast,1000,301,699,30.1,69.9,24.31
BotColorBasic,1000,283,717,28.3,71.7,24.05
BotFast,1000,40,960,4.0,96.0,17.07
BotBasic,1000,154,846,15.4,84.6,20.04
BotRandom,1000,35,965,3.5,96.5,13.94
BotSuper,1000,187,813,18.7,81.3,22.41
^
BotColorFast,1000,265,735,26.5,73.5,25.93
BotColorFast,1000,281,719,28.1,71.9,26.04
BotColorFast,1000,200,800,20.0,80.0,24.87
BotColorFast,1000,254,746,25.4,74.6,25.61
^
BotColorBasic,3000,827,2173,27.57,72.43,26.45
BotColorBasic,3000,691,2309,23.03,76.97,25.58
BotColorBasic,3000,664,2336,22.13,77.87,25.26
BotColorBasic,3000,818,2182,27.27,72.73,26.08
^
BotFast,2000,468,1532,23.4,76.6,17.09
BotFast,2000,468,1532,23.4,76.6,16.87
BotFast,2000,530,1470,26.5,73.5,17.23
BotFast,2000,534,1466,26.7,73.3,17.39
^
BotBasic,2500,638,1862,25.52,74.48,23.33
BotBasic,2500,623,1877,24.92,75.08,23.47
BotBasic,2500,622,1878,24.88,75.12,23.33
BotBasic,2500,617,1883,24.68,75.32,23.57
^
BotSuper,4000,1102,2898,27.55,72.45,26.62
BotSuper,4000,971,3029,24.28,75.73,25.85
BotSuper,4000,905,3095,22.63,77.38,25.62
BotSuper,4000,1022,2978,25.55,74.45,26.02
^
BotRandom,1000,256,744,25.6,74.4,17.8
BotRandom,1000,230,770,23.0,77.0,17.71
BotRandom,1000,243,757,24.3,75.7,17.98
BotRandom,1000,271,729,27.1,72.9,18.09
^
BotColor,5000,1204,3796,24.08,75.92,23.17
BotColor,5000,1304,3696,26.08,73.92,23.6
BotColor,5000,1162,3838,23.24,76.76,23.23
BotColor,5000,1330,3670,26.6,73.4,24.02
^
